Lakita Coria:10
Franklyn Klingenberg:15
Jeanene Wheatley:6
Zelma Konrad:0
Rheba Carlo:9
Johnathan Dermody:10
Hedy Hooten:12
Ricki Haymon:16
Lauren Mertz:17
Denae Politte:10
Ja Speegle:5
Chaya Amen:8
Nu Mervis:9
Avery Lamy:4
Stevie Mcfetridge:10
Melva Halsey:10
Sanjuanita Aleman:14
Andreas Daniel:14
Isabel Mund:10
Carlotta Harrell:9
Juliann Engelmann:10
Buster Lones:14
Jake Folsom:11
Otelia Stiltner:10
Patsy Brazel:3
Leanne Gatling:10
Bianca Ayon:4
Devona Roller:10
Gilberte Hurn:4
Jonathon Renard:14
